Date,Open Price,High Price,Low Price,Last Traded Price,Close Price,Total Traded Quantity,Turnover (in Lakhs)
2010-12-31,502.59,506.61,500.29,502.57,502.9,4799358.38,24175.91
2010-12-30,499.91,501.5,496.98,499.34,499.34,7007323.98,34993.15
2010-12-29,497.96,501.14,497.01,498.77,498.1,5382146.28,26849.69
2010-12-28,501.76,503.37,495.08,497.06,497.77,4262282.88,21256.62
2010-12-27,502.71,507.7,499.31,500.14,501.26,2782404.28,14016.6
2010-12-24,500.19,505.66,498.77,503.3,503.37,4548916.96,22864.06
2010-12-23,502.47,505.75,499.01,504.11,503.23,7020885.72,35313.85
2010-12-22,509.6,510.64,497.98,501.43,501.64,7281802.62,36734.11
2010-12-21,503.47,510.59,502.69,509.79,509.76,7742619.2,39259.08
2010-12-20,496.39,507.32,496.2,502.59,501.97,7631144.42,38363.0
2010-12-16,502.42,503.52,494.04,502.45,502.02,7473637.26,37387.88
2010-12-15,500.67,505.42,492.11,500.17,500.62,10315321.98,51562.07
2010-12-14,495.44,503.52,494.96,501.43,501.26,9663327.6,48339.76
2010-12-13,486.44,496.86,479.77,494.92,494.85,8100981.82,39544.22
2010-12-10,468.75,489.26,465.2,484.28,486.37,12766278.68,61284.83
2010-12-09,486.68,491.1,464.92,468.37,467.65,15262280.44,72984.2
2010-12-08,486.85,488.2,480.31,484.95,484.78,8179360.68,39610.44
2010-12-07,484.52,493.88,484.52,488.81,489.62,10778224.82,52854.54
2010-12-06,482.55,489.26,481.19,483.64,484.59,8560926.84,41616.74
2010-12-03,481.67,486.41,474.07,479.77,477.82,9451659.82,45438.86
2010-12-02,474.54,481.4,472.67,480.57,480.31,11950543.6,56986.27
2010-12-01,467.89,473.78,466.97,470.03,469.7,9011617.4,42368.46
2010-11-30,474.92,479.15,466.04,468.55,468.17,14669177.02,69073.5
2010-11-29,460.53,476.18,457.16,474.45,474.25,11264792.26,52904.37
2010-11-26,467.89,470.45,455.21,457.92,457.13,14744099.16,68003.76
2010-11-25,475.97,476.44,462.19,468.51,465.28,14009496.54,65710.58
2010-11-24,474.54,483.47,468.39,469.32,473.14,9481776.86,45336.5
2010-11-23,477.22,477.39,463.14,471.93,472.93,15934846.88,75126.9
2010-11-22,476.68,482.83,473.68,481.67,480.83,9122260.62,43721.41
2010-11-19,492.11,492.11,468.89,472.12,473.23,11946857.4,57358.52
2010-11-18,498.67,498.67,481.67,489.76,490.67,10960520.78,53759.79
2010-11-16,503.04,503.04,487.63,488.79,489.5,9544071.96,47082.82
2010-11-15,506.89,507.27,493.16,501.04,501.0,7740299.28,38616.34
